"province","agegrp5","sex","no_reinf","reinf","total"
"EASTERN CAPE","UNKNOWN","F",1761,1,1762
"EASTERN CAPE","UNKNOWN","M",1303,2,1305
"EASTERN CAPE","UNKNOWN","U",302,0,302
"EASTERN CAPE","(0,5]","F",1597,6,1603
"EASTERN CAPE","(0,5]","M",1654,3,1657
"EASTERN CAPE","(0,5]","U",140,0,140
"EASTERN CAPE","(10,15]","F",7753,55,7808
"EASTERN CAPE","(10,15]","M",6280,35,6315
"EASTERN CAPE","(10,15]","U",595,2,597
"EASTERN CAPE","(15,20]","F",10550,87,10637
"EASTERN CAPE","(15,20]","M",7814,58,7872
"EASTERN CAPE","(15,20]","U",456,0,456
"EASTERN CAPE","(20,25]","F",10060,143,10203
"EASTERN CAPE","(20,25]","M",6742,78,6820
"EASTERN CAPE","(20,25]","U",205,0,205
"EASTERN CAPE","(25,30]","F",13597,260,13857
"EASTERN CAPE","(25,30]","M",8870,132,9002
"EASTERN CAPE","(25,30]","U",191,0,191
"EASTERN CAPE","(30,35]","F",15146,271,15417
"EASTERN CAPE","(30,35]","M",9882,139,10021
"EASTERN CAPE","(30,35]","U",185,1,186
"EASTERN CAPE","(35,40]","F",15507,263,15770
"EASTERN CAPE","(35,40]","M",10198,137,10335
"EASTERN CAPE","(35,40]","U",171,0,171
"EASTERN CAPE","(40,45]","F",14127,165,14292
"EASTERN CAPE","(40,45]","M",9338,120,9458
"EASTERN CAPE","(40,45]","U",149,1,150
"EASTERN CAPE","(45,50]","F",14288,189,14477
"EASTERN CAPE","(45,50]","M",9364,118,9482
"EASTERN CAPE","(45,50]","U",148,0,148
"EASTERN CAPE","(5,10]","F",3764,11,3775
"EASTERN CAPE","(5,10]","M",3505,9,3514
"EASTERN CAPE","(5,10]","U",320,0,320
"EASTERN CAPE","(50,55]","F",13232,136,13368
"EASTERN CAPE","(50,55]","M",8734,85,8819
"EASTERN CAPE","(50,55]","U",137,0,137
"EASTERN CAPE","(55,60]","F",11869,99,11968
"EASTERN CAPE","(55,60]","M",7575,65,7640
"EASTERN CAPE","(55,60]","U",133,0,133
"EASTERN CAPE","(60,65]","F",8126,41,8167
"EASTERN CAPE","(60,65]","M",5866,34,5900
"EASTERN CAPE","(60,65]","U",123,0,123
"EASTERN CAPE","(65,70]","F",5709,20,5729
"EASTERN CAPE","(65,70]","M",4218,17,4235
"EASTERN CAPE","(65,70]","U",79,0,79
"EASTERN CAPE","(70,75]","F",3961,14,3975
"EASTERN CAPE","(70,75]","M",2836,12,2848
"EASTERN CAPE","(70,75]","U",72,0,72
"EASTERN CAPE","(75,80]","F",2770,14,2784
"EASTERN CAPE","(75,80]","M",1860,10,1870
"EASTERN CAPE","(75,80]","U",46,0,46
"EASTERN CAPE","(80,Inf]","F",3278,16,3294
"EASTERN CAPE","(80,Inf]","M",1586,6,1592
"EASTERN CAPE","(80,Inf]","U",52,0,52
"FREE STATE","UNKNOWN","F",451,0,451
"FREE STATE","UNKNOWN","M",342,1,343
"FREE STATE","UNKNOWN","U",67,0,67
"FREE STATE","(0,5]","F",962,1,963
"FREE STATE","(0,5]","M",997,6,1003
"FREE STATE","(0,5]","U",31,0,31
"FREE STATE","(10,15]","F",3834,36,3870
"FREE STATE","(10,15]","M",3309,24,3333
"FREE STATE","(10,15]","U",112,0,112
"FREE STATE","(15,20]","F",6012,68,6080
"FREE STATE","(15,20]","M",4038,47,4085
"FREE STATE","(15,20]","U",114,1,115
"FREE STATE","(20,25]","F",5622,88,5710
"FREE STATE","(20,25]","M",3674,57,3731
"FREE STATE","(20,25]","U",75,0,75
"FREE STATE","(25,30]","F",7913,133,8046
"FREE STATE","(25,30]","M",5150,74,5224
"FREE STATE","(25,30]","U",76,0,76
"FREE STATE","(30,35]","F",9063,127,9190
"FREE STATE","(30,35]","M",6082,101,6183
"FREE STATE","(30,35]","U",82,0,82
"FREE STATE","(35,40]","F",8857,123,8980
"FREE STATE","(35,40]","M",6297,100,6397
"FREE STATE","(35,40]","U",76,0,76
"FREE STATE","(40,45]","F",7718,107,7825
"FREE STATE","(40,45]","M",5525,88,5613
"FREE STATE","(40,45]","U",57,1,58
"FREE STATE","(45,50]","F",7593,87,7680
"FREE STATE","(45,50]","M",5659,76,5735
"FREE STATE","(45,50]","U",63,0,63
"FREE STATE","(5,10]","F",1928,4,1932
"FREE STATE","(5,10]","M",1761,4,1765
"FREE STATE","(5,10]","U",69,0,69
"FREE STATE","(50,55]","F",7130,76,7206
"FREE STATE","(50,55]","M",5282,79,5361
"FREE STATE","(50,55]","U",61,0,61
"FREE STATE","(55,60]","F",6158,71,6229
"FREE STATE","(55,60]","M",4307,49,4356
"FREE STATE","(55,60]","U",56,0,56
"FREE STATE","(60,65]","F",4098,23,4121
"FREE STATE","(60,65]","M",3033,30,3063
"FREE STATE","(60,65]","U",37,0,37
"FREE STATE","(65,70]","F",3015,17,3032
"FREE STATE","(65,70]","M",2146,20,2166
"FREE STATE","(65,70]","U",33,0,33
"FREE STATE","(70,75]","F",2274,17,2291
"FREE STATE","(70,75]","M",1522,20,1542
"FREE STATE","(70,75]","U",23,0,23
"FREE STATE","(75,80]","F",1638,7,1645
"FREE STATE","(75,80]","M",969,10,979
"FREE STATE","(75,80]","U",26,0,26
"FREE STATE","(80,Inf]","F",1892,14,1906
"FREE STATE","(80,Inf]","M",814,5,819
"FREE STATE","(80,Inf]","U",20,0,20
"GAUTENG","UNKNOWN","F",5759,5,5764
"GAUTENG","UNKNOWN","M",4681,7,4688
"GAUTENG","UNKNOWN","U",666,0,666
"GAUTENG","(0,5]","F",5205,20,5225
"GAUTENG","(0,5]","M",5570,17,5587
"GAUTENG","(0,5]","U",142,1,143
"GAUTENG","(10,15]","F",14386,83,14469
"GAUTENG","(10,15]","M",12852,60,12912
"GAUTENG","(10,15]","U",353,0,353
"GAUTENG","(15,20]","F",23874,271,24145
"GAUTENG","(15,20]","M",18512,185,18697
"GAUTENG","(15,20]","U",365,0,365
"GAUTENG","(20,25]","F",34919,581,35500
"GAUTENG","(20,25]","M",25419,385,25804
"GAUTENG","(20,25]","U",434,1,435
"GAUTENG","(25,30]","F",55156,1043,56199
"GAUTENG","(25,30]","M",38761,600,39361
"GAUTENG","(25,30]","U",623,1,624
"GAUTENG","(30,35]","F",62254,1151,63405
"GAUTENG","(30,35]","M",45946,722,46668
"GAUTENG","(30,35]","U",632,4,636
"GAUTENG","(35,40]","F",60276,999,61275
"GAUTENG","(35,40]","M",47675,734,48409
"GAUTENG","(35,40]","U",620,2,622
"GAUTENG","(40,45]","F",50024,733,50757
"GAUTENG","(40,45]","M",41969,581,42550
"GAUTENG","(40,45]","U",500,1,501
