"date","cnt","reinf","tot"
2020-03-04,1,0,1
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,2,0,2
2020-03-08,8,0,8
2020-03-09,3,0,3
2020-03-10,7,0,7
2020-03-11,10,0,10
2020-03-12,18,0,18
2020-03-13,15,0,15
2020-03-14,12,0,12
2020-03-15,23,0,23
2020-03-16,141,0,141
2020-03-17,144,0,144
2020-03-18,176,0,176
2020-03-19,151,0,151
2020-03-20,114,0,114
2020-03-21,84,0,84
2020-03-22,37,0,37
2020-03-23,148,0,148
2020-03-24,78,0,78
2020-03-25,57,0,57
2020-03-26,52,0,52
2020-03-27,65,0,65
2020-03-28,38,0,38
2020-03-29,24,0,24
2020-03-30,61,0,61
2020-03-31,67,0,67
2020-04-01,48,0,48
2020-04-02,63,0,63
2020-04-03,72,0,72
2020-04-04,55,0,55
2020-04-05,76,0,76
2020-04-06,97,0,97
2020-04-07,81,0,81
2020-04-08,99,0,99
2020-04-09,115,0,115
2020-04-10,85,0,85
2020-04-11,136,0,136
2020-04-12,67,0,67
2020-04-13,68,0,68
2020-04-14,131,0,131
2020-04-15,150,0,150
2020-04-16,272,0,272
2020-04-17,215,0,215
2020-04-18,207,0,207
2020-04-19,117,0,117
2020-04-20,236,0,236
2020-04-21,360,0,360
2020-04-22,286,0,286
2020-04-23,331,0,331
2020-04-24,330,0,330
2020-04-25,238,0,238
2020-04-26,276,0,276
2020-04-27,169,0,169
2020-04-28,367,0,367
2020-04-29,492,0,492
2020-04-30,407,0,407
2020-05-01,371,0,371
2020-05-02,394,0,394
2020-05-03,371,0,371
2020-05-04,633,0,633
2020-05-05,875,0,875
2020-05-06,1048,0,1048
2020-05-07,881,0,881
2020-05-08,811,0,811
2020-05-09,838,0,838
2020-05-10,705,0,705
2020-05-11,1036,0,1036
2020-05-12,1250,0,1250
2020-05-13,1290,0,1290
2020-05-14,1230,0,1230
2020-05-15,1089,0,1089
2020-05-16,932,0,932
2020-05-17,726,0,726
2020-05-18,1419,0,1419
2020-05-19,1531,0,1531
2020-05-20,1604,0,1604
2020-05-21,1627,0,1627
2020-05-22,1768,0,1768
2020-05-23,1320,0,1320
2020-05-24,691,0,691
2020-05-25,1892,0,1892
2020-05-26,1883,0,1883
2020-05-27,1864,0,1864
2020-05-28,1997,0,1997
2020-05-29,2158,0,2158
2020-05-30,1442,0,1442
2020-05-31,1151,0,1151
2020-06-01,2362,0,2362
